tipo,elemento,bloques_afectados,severidad,evidencia,efecto
Zona sin vía de abastecimiento,Z1,12,estructural,"La zona no tiene centro de acopio ni ruta de entrada en la red del Excel, y el Grupo 1 le reporta demanda.","Todo el consumo de la zona queda como déficit desde el primer bloque, sin relación con el inventario."
Zona sin convoy externo posible,Z3,12,estructural,"Todas las rutas que llegan a la zona salen de su propio centro, por lo que no existe refuerzo externo en la red original.","Si el centro local se agota, no hay convoy que pueda reponerlo dentro del horizonte."
Ruta no disponible,R08 → Albergue Z5-1,12,operativo,Estado de ruta del Excel sin actualización formal del Grupo 4 que permita reabrirla.,La ruta no puede usarse para despacho ni para convoy en esos bloques.
Ruta no disponible,R09 → Albergue Z5-2,12,operativo,Estado de ruta del Excel sin actualización formal del Grupo 4 que permita reabrirla.,La ruta no puede usarse para despacho ni para convoy en esos bloques.
Déficit de suministro,Z1 / agua,12,operativo,"Déficit medio de 3,629.8 con IC 95% [3,599.4, 3,660.1] sobre las realizaciones del escenario post-intercambio.",Demanda no satisfecha acumulada en el horizonte de 72 horas.
Déficit de suministro,Z1 / alimentos,12,operativo,"Déficit medio de 1,198.5 con IC 95% [1,190.3, 1,206.7] sobre las realizaciones del escenario post-intercambio.",Demanda no satisfecha acumulada en el horizonte de 72 horas.
Déficit de suministro,Z1 / medicamentos,12,operativo,"Déficit medio de 60.0 con IC 95% [59.5, 60.5] sobre las realizaciones del escenario post-intercambio.",Demanda no satisfecha acumulada en el horizonte de 72 horas.
Déficit de suministro,Z3 / medicamentos,6,operativo,"Déficit medio de 150.9 con IC 95% [147.8, 153.9] sobre las realizaciones del escenario post-intercambio.",Demanda no satisfecha acumulada en el horizonte de 72 horas.
Déficit de suministro,Z5 / medicamentos,6,operativo,"Déficit medio de 80.1 con IC 95% [78.3, 81.9] sobre las realizaciones del escenario post-intercambio.",Demanda no satisfecha acumulada en el horizonte de 72 horas.
Restricción de vehículo,R02 (Z2),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R03 (Z5),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R04 (Z5),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R05 (Z2),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R07 (Z3),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R08 (Z5),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Restricción de vehículo,R09 (Z5),2,operativo,El Grupo 4 reporta que en esos bloques solo circula vehículo liviano en esa zona.,El camión de 10 t no puede usarse; la capacidad por viaje baja a la de la camioneta.
Destino sin zona identificada,Albergue Estadio,12,informativo,"El Excel no declara la zona del destino y el Grupo 4 reporta por zona, no por albergue.",Sus rutas no reciben accesibilidad actualizada ni entran en la priorización de despacho.
Unidades sin conversión,"capacidad_m3 frente a litros, raciones y kits",12,informativo,"El Excel expresa la capacidad de la flota en metros cúbicos y la demanda en unidades de suministro, sin factores de conversión.",La cobertura por ruta no puede expresarse como fracción de demanda satisfecha sin un factor que ningún grupo entregó.
